date,branch,revenue,orders,profit,customer_rating,complaints,marketing_spend,online_orders,dinein_orders
2023-01-03,T Nagar,163014.79,461,42690.85,4.6,3,8152.91,228,233
2023-08-18,Adyar,43233.65,108,9618.77,4.1,1,2648.38,43,65
2022-09-08,Adyar,53258.25,151,10140.12,4.2,4,4609.96,74,77
2022-08-23,Velachery,39745.58,110,10414.78,3.9,0,3123.12,46,64
2022-11-01,Adyar,59064.74,168,11966.44,4.4,2,,63,105
2022-03-22,Adyar,51557.23,140,13201.26,4.2,2,2535.43,50,90
2023-07-11,OMR,40699.73,90,10363.24,5.0,3,3026.67,35,55
2022-07-27,T Nagar,,159,12601.09,4.1,7,3015.35,71,88
2023-05-11,Anna Nagar,45692.63,110,12215.06,3.9,4,1922.85,61,49
2022-03-10,T Nagar,56779.96,131,10962.5,3.9,2,2763.4,57,74
2023-04-01,OMR,57866.38,142,13879.16,4.5,4,3024.47,51,91
2022-10-15,Velachery,48516.26,136,11037.99,3.8,1,2079.71,72,64
2022-01-28,Velachery,36737.92,95,9769.22,3.5,1,2037.47,45,50
2022-08-28,T Nagar,60524.19,168,11512.74,4.5,2,3843.98,81,87
2023-11-25,Adyar,77425.38,196,18041.81,4.8,1,4134.61,111,85
2023-10-18,Anna Nagar,46304.07,127,11444.11,4.6,0,1862.26,73,54
2022-08-18,Anna Nagar,47524.77,112,11487.92,4.1,3,3658.0,45,67
2023-01-22,T Nagar,76282.22,181,16921.35,4.4,3,5717.08,108,73
2022-04-21,T Nagar,55063.48,124,12389.97,3.8,1,4251.74,57,67
2022-02-02,Anna Nagar,45272.9,103,9737.82,3.8,2,2075.91,39,64
2022-05-04,Velachery,33450.49,92,8261.43,4.2,3,2641.53,48,44
2022-03-15,T Nagar,48861.15,136,13532.22,4.0,2,2048.96,73,63
2023-10-13,Velachery,45546.9,127,8926.92,4.0,4,3728.02,57,70
2022-03-03,OMR,43549.18,96,11192.97,4.5,4,2507.56,48,48
2022-12-04,T Nagar,73886.73,208,18266.82,4.5,1,6600.11,120,88
2022-08-27,Adyar,58862.93,139,13994.85,,1,4035.96,51,88
2022-01-09,OMR,57293.26,163,13231.6,4.7,3,3654.27,71,92
2023-06-02,OMR,36256.9,92,7016.96,4.2,2,1471.38,41,51
2022-03-20,OMR,51122.55,118,9701.3,3.9,4,2877.5,64,54
2022-05-30,Anna Nagar,33370.92,75,6079.59,4.5,2,2442.4,44,31
2023-02-09,Velachery,35916.97,81,8766.09,3.7,2,1999.93,32,49
2023-12-17,Adyar,77912.96,204,16775.26,3.5,3,6247.67,102,102
2023-02-07,Anna Nagar,43725.05,124,10022.18,4.5,3,3905.71,52,72
2023-03-10,OMR,38848.68,93,10565.76,3.7,1,3323.94,34,59
2023-10-05,Velachery,43624.62,98,9470.94,4.7,1,2109.19,41,57
2022-05-27,OMR,38220.38,87,8731.22,3.6,5,2762.75,31,56
2022-10-29,OMR,,152,13693.63,3.7,1,4546.94,74,78
2023-05-17,Anna Nagar,42248.44,111,8789.6,4.6,4,2027.4,43,68
2023-12-21,OMR,39292.24,107,9664.88,3.9,2,2765.77,63,44
2023-01-19,T Nagar,56500.69,139,15064.15,4.1,2,4753.98,51,88
2023-11-05,T Nagar,75062.87,168,20814.69,4.6,4,6574.64,59,109
2023-04-13,Adyar,49979.84,111,12108.74,4.2,1,4193.73,41,70
2023-02-24,T Nagar,46859.75,123,11104.17,4.9,1,3413.06,57,66
2022-11-25,OMR,45218.81,103,9834.87,3.7,1,2783.9,41,62
2023-12-18,OMR,16015.32,37,3240.88,4.0,2,839.0,15,22
2023-02-01,Adyar,52773.35,132,10008.64,3.8,2,4534.47,68,64
2022-04-20,Anna Nagar,40174.1,97,9494.9,4.6,3,2371.11,47,50
2022-01-15,Anna Nagar,59178.94,135,12178.68,4.0,2,4320.02,74,61
2022-12-05,Adyar,57688.04,149,10481.16,4.1,2,3706.31,59,90
2023-07-18,T Nagar,58326.74,129,13156.84,4.1,3,4415.17,70,59
2023-05-12,T Nagar,46234.79,124,9992.55,4.4,2,1900.18,72,52
2022-12-08,Adyar,57182.89,138,14142.5,3.8,0,3680.13,54,84
2022-01-06,OMR,45491.2,111,9886.47,4.9,1,3944.02,65,46
